CON,RA,DEC
SER,15.738056,6.4167
SER,15.846944,4.4833
SER,15.826944,-3.4167
SER,16.305278,-4.7000
SER,16.463611,-8.3667
SER,17.346944,-12.8500
SER,17.626667,-15.4000
SER,17.690278,-12.8667
SER,17.983611,-9.7833
SER,18.355000,-2.8833
SER,18.090833,2.5000
SER,18.010556,2.9333
SER,18.122500,9.5667
SER,,
SGE,19.979444,19.4833
SGE,19.789722,18.5333
SGE,19.668333,18.0167
SGE,,
SGE,19.789722,18.5333
SGE,19.683889,17.4833
SGE,,
SGR,19.043611,-29.8667
SGR,19.115556,-27.6667
SGR,18.921111,-26.3000
SGR,18.761111,-27.0000
SGR,19.043611,-29.8667
SGR,,
SGR,18.761111,-27.0000
SGR,18.466111,-25.4333
SGR,18.350000,-29.8167
SGR,18.096667,-30.4333
SGR,18.402778,-34.3833
SGR,18.350000,-29.8167
SGR,,
SGR,18.402778,-34.3833
SGR,19.043611,-29.8667
SGR,19.398333,-40.6167
SGR,19.377222,-44.4667
SGR,,
APS,14.797500,-79.0333
APS,16.339167,-78.7000
APS,16.557500,-78.8833
APS,16.717778,-77.5167
APS,16.339167,-78.7000
APS,,
AQL,19.770833,10.6167
AQL,19.424722,3.1167
AQL,19.104167,-4.8833
AQL,19.611944,-1.3000
AQL,19.874722,1.0000
AQL,20.188333,-0.8167
AQL,19.921944,6.4000
AQL,19.846389,8.8667
AQL,19.770833,10.6167
AQL,19.090278,13.8667
AQL,18.993611,15.0667
AQL,,
AQR,22.096389,-0.3167
AQR,22.360833,-1.3833
AQR,22.589167,-0.1167
AQR,22.421111,1.3667
AQR,22.096389,-0.3167
AQR,21.526111,-5.5833
AQR,21.160000,-11.3833
AQR,20.877778,-8.9833
AQR,20.794722,-9.5000
AQR,,
AQR,21.526111,-5.5833
AQR,22.107222,-13.8667
AQR,,
AQR,22.096389,-0.3167
AQR,22.055278,-2.1500
AQR,22.280278,-7.7833
AQR,22.876944,-7.5833
AQR,23.238889,-6.0500
AQR,23.264722,-9.0833
AQR,22.910833,-15.8167
AQR,22.826667,-13.5833
AQR,22.876944,-7.5833
AQR,,
AQR,23.298333,-9.1833
AQR,23.382778,-20.1000
AQR,23.434167,-20.6333
AQR,23.554722,-20.9167
AQR,,
AQR,23.264722,-9.0833
AQR,23.157500,-21.1667
AQR,23.165000,-22.4500
AQR,23.111389,-23.7500
AQR,,
ARA,17.530833,-49.8833
ARA,17.421667,-55.5333
ARA,17.423333,-56.3833
ARA,17.518333,-60.6833
ARA,,
ARA,17.421667,-55.5333
ARA,16.977222,-55.9833
ARA,,
ARA,16.993056,-53.1500
ARA,16.977222,-55.9833
ARA,16.829722,-59.0500
ARA,,
VOL,8.428889,-66.1333
VOL,8.132500,-68.6167
VOL,7.696944,-72.6000
VOL,7.145833,-70.5000
VOL,8.132500,-68.6167
VOL,9.040833,-66.4000
VOL,8.428889,-66.1333
VOL,,
VOL,7.280556,-67.9500
VOL,8.132500,-68.6167
VOL,8.651389,-70.3833
VOL,,
VUL,19.891111,24.0833
VUL,19.478611,24.6667
VUL,19.270278,21.4000
VUL,,
BOO,14.420000,51.8500
BOO,14.273056,46.0833
BOO,13.911389,18.4000
BOO,13.824444,15.8000
BOO,,
BOO,14.534722,38.3167
BOO,14.530556,30.3833
BOO,14.261111,19.1833
BOO,14.685833,13.7167
BOO,14.749722,27.0833
BOO,15.258333,33.3167
BOO,15.032500,40.3833
BOO,14.534722,38.3167
BOO,14.273056,46.0833
BOO,,
BOO,15.258333,33.3167
BOO,15.408333,37.3833
BOO,,
BOO,14.530556,30.3833
BOO,14.578056,29.7500
BOO,14.749722,27.0833
BOO,,
CAP,21.783889,-16.1333
CAP,21.668056,-16.6667
CAP,21.370833,-16.8333
